Image,Name,Team(s),Location,Capacity,Surface,Roof,Opened,Ref.
,Acrisure Stadium,Pittsburgh Steelers,"Pittsburgh, Pennsylvania","68,400",Kentucky bluegrass,Open-air,2001,[5][6]
,Allegiant Stadium,Las Vegas Raiders,"Paradise, Nevada","65,000",Bermuda grass,Translucent,2020,[5][7][8]
,Arrowhead Stadium,Kansas City Chiefs,"Kansas City, Missouri","76,416",Bermuda grass,Open-air,1972,[5][9]
,AT&T Stadium,Dallas Cowboys,"Arlington, Texas","80,000",Artificial,Retractable,2009,[5][10]
,Bank of America Stadium,Carolina Panthers,"Charlotte, North Carolina","75,037",FieldTurf,Open-air,1996,[11][12]
,Caesars Superdome,New Orleans Saints,"New Orleans, Louisiana","73,208",Artificial,Dome,1975,[5][9]
,Empower Field at Mile High,Denver Broncos,"Denver, Colorado","76,125",Kentucky bluegrass,Open-air,2001,[5][7]
,EverBank Stadium,Jacksonville Jaguars,"Jacksonville, Florida","69,132",Bermuda grass,Open-air,1995,[5][7]
,Ford Field,Detroit Lions,"Detroit, Michigan","65,000",FieldTurf,Dome,2002,[5][12]
,Gillette Stadium,New England Patriots,"Foxborough, Massachusetts","66,829",FieldTurf,Open-air,2002,[5][12]
,Hard Rock Stadium,Miami Dolphins,"Miami Gardens, Florida","65,326",Bermuda grass,Open-air,1987,[5][7]
,Highmark Stadium,Buffalo Bills,"Orchard Park, New York","71,608",Artificial,Open-air,1973,[5][7]
,Huntington Bank Field,Cleveland Browns,"Cleveland, Ohio","67,895",Kentucky bluegrass,Open-air,1999,[5][7]
,Lambeau Field,Green Bay Packers,"Green Bay, Wisconsin","81,441",Hybrid grass,Open-air,1957,[5][13]
,Levi's Stadium,San Francisco 49ers,"Santa Clara, California","68,500",Bermuda grass,Open-air,2014,[5][7]
,Lincoln Financial Field,Philadelphia Eagles,"Philadelphia, Pennsylvania","69,596",GrassMaster,Open-air,2003,[5][9]
,Lucas Oil Stadium,Indianapolis Colts,"Indianapolis, Indiana","67,000",Artificial,Retractable,2008,[5][10]
,Lumen Field,Seattle Seahawks,"Seattle, Washington","69,000",FieldTurf,Open-air,2002,[5][12]
,M&T Bank Stadium,Baltimore Ravens,"Baltimore, Maryland","71,008",Bermuda–ryegrass,Open-air,1998,[5][7]
,Mercedes-Benz Stadium,Atlanta Falcons,"Atlanta, Georgia","71,000",FieldTurf,Retractable,2017,[5][12]
,MetLife Stadium,New York GiantsNew York Jets,"East Rutherford, New Jersey","82,500",FieldTurf,Open-air,2010,[5][12]
,Nissan Stadium,Tennessee Titans,"Nashville, Tennessee","69,143",Artificial,Open-air,1999,[5][10]
,Northwest Stadium,Washington Commanders,"Landover, Maryland","64,000",Bermuda grass,Open-air,1997,[14][7]
,NRG Stadium,Houston Texans,"Houston, Texas","72,220",Artificial,Retractable,2002,[5][10]
,Paycor Stadium,Cincinnati Bengals,"Cincinnati, Ohio","65,515",Artificial,Open-air,2000,[5][7]
,Raymond James Stadium,Tampa Bay Buccaneers,"Tampa, Florida","65,890",Bermuda grass,Open-air,1998,[7]
,SoFi Stadium,Los Angeles RamsLos Angeles Chargers,"Inglewood, California","70,000",Artificial,Translucent,2020,[5][10][8]
,Soldier Field,Chicago Bears,"Chicago, Illinois","61,500",Bermuda grass,Open-air,1924[a],[5][7]
,State Farm Stadium,Arizona Cardinals,"Glendale, Arizona","63,400",Bermuda grass,Retractable,2006,[5][7]
,U.S. Bank Stadium,Minnesota Vikings,"Minneapolis, Minnesota","66,655",Artificial,Translucent,2016,[5][15][8]
